#TYPE System.Management.Automation.PSCustomObject
"Label","ScreenValue","DNPValue","PassFail"
"","","",""
"CurrentPoleASwitch1","1.000","4","False"
"CurrentPoleASwitch2","1.000","4","False"
"CurrentPoleBSwitch1","0","11","False"
"CurrentPoleBSwitch2","1.000","170","False"
"CurrentPoleCSwitch1","0","142","False"
"CurrentPoleCSwitch2","1.000","142","False"
"KVARsPoleASwitch1","0","0","True"
"KVARsPoleASwitch2","0","0","True"
"KVARsPoleBSwitch1","0","0","True"
"KVARsPoleBSwitch2","0","0","True"
"KVARsPoleCSwitch1","0","-112","False"
"KVARsPoleCSwitch2","0","0","True"
"NeutralCurrentSwitch1","0","0","True"
"NeutralCurrentSwitch2","0","12","False"
"PhaseAnglePoleASwitch1","0.000","-44","False"
"PhaseAnglePoleASwitch2","0.000","0","False"
"PhaseAnglePoleBSwitch1","0.000","0","False"
"PhaseAnglePoleBSwitch2","0.000","-83","False"
"PhaseAnglePoleCSwitch1","0.000","0","False"
"PhaseAnglePoleCSwitch2","0.000","0","False"
"VoltagePoleASwitch1","0","1200","False"
"VoltagePoleASwitch2","0","1","False"
"VoltagePoleBSwitch1","0","1009","False"
"VoltagePoleBSwitch2","0","1009","False"
"VoltagePoleCSwitch1","0","1013","False"
"VoltagePoleCSwitch2","0","1012","False"
